
			Alternate Sound Table
			---------------------

	This is not complete but groups alot of useful sounds together
	(i.e. smacks, whooshes, stabs, etc.).  The end of sndtab.dat
	has most of the latest stuff (Fatalities, Animalities, etc.)

- Hits, Blocks, Falls, Slams:

  100  $0064  1     18.0    20.6  big hit #1
  105  $0069  1     16.7    19.2  big hit #2
  120  $0078  1     22.2    25.4  body hit #1
  125  $007d  1     21.3    24.5  body hit #2
  130  $0082  1     17.2    19.7  face hit #1
  135  $0087  1     18.8    21.6  face hit #2
  140  $008c  1     25.1    28.8  Biggie Hit #3
  180  $00b4  1     26.0    29.8  Body hit #3
  240  $00f0  1     45.2    51.8  Old big hit #1
  245  $00f5  1     45.2    51.8  Old big hit #2
  270  $010e  1     38.1    43.7  New Big Hit #1
  275  $0113  1     37.7    43.2  New Big Hit #2 (weapon)
  280  $0118  1     33.1    37.9  New Big Hit #3
  285  $011d  1     36.4    41.8  New Big Hit #4
  290  $0122  1     41.9    48.0  New Big Hit #5 (weapon)


  110  $006e  1     33.1    37.9  Block a Major hit
  115  $0073  1     15.1    17.3  block #1

  185  $00b9  1     32.2    37.0  fall #1
  190  $00be  1     22.6    25.9  fall #2
  195  $00c3  1     40.2    46.1  fall #3
  200  $00c8  1     35.2    40.3  fall #4
  395  $018b  1     23.9    27.4  Metal Punch #1
  400  $0190  1     26.8    30.7  Metal Punch #2

  255  $00ff  1     32.2    37.0  Medium Body Slam
  260  $0104  1     51.1    58.6  Big Body Slam
  265  $0109  1     46.0    52.8  Big Slam

e 10390 $2896  1     33.5    38.4  Shao Kahn Light Puncture #1

- Nasty Crunches, Stabs, Smashes:

  210  $00d2  1     32.2    37.0  Crunch #1
  215  $00d7  1     33.1    37.9  Crunch #2
e 10065 $2751  1     41.9    48.0  Bloody Crunch #1
e 10105 $2779  1     56.5    64.8  Body Smashed/Crushed
e 10140 $279c  1     61.1    70.1  Kano Spine Rip

  220  $00dc  1     25.1    28.8  Stab #1
  225  $00e1  1     25.5    29.3  Biggie Stab #1
  230  $00e6  1     46.0    52.8  Biggie Stab #2
  235  $00eb  1     30.1    34.6  Biggie Stab #3
  350  $015e  1     26.8    30.7  New Stab #1
  355  $0163  1     24.3    27.8  New Stab #2 (Kano knife)
  360  $0168  1     29.7    34.1  New Stab #3
e 10070 $2756  1     23.0    26.4  Bloody Stab

  1045 $0415  1     18.0    20.6  Splish #1
  1050 $041a  1     14.6    16.8  Splish #2
  1055 $041f  1     39.3    45.1  Splish #3

  375  $0177  1     37.7    43.2  Crash through floors

- Whooshes:

  145  $0091  1     26.0    29.8  big whoosh #1
  150  $0096  1     18.8    21.6  big whoosh #2
  155  $009b  1     20.9    24.0  big whoosh #3
  160  $00a0  1     17.6    20.2  big whoosh #4
  165  $00a5  1     16.7    19.2  whoosh #1
  170  $00aa  1     23.4    26.9  whoosh #2
  175  $00af  1     20.5    23.5  whoosh #3
  365  $016d  1     28.9    33.1  Round House Whoosh
  370  $0172  1     27.6    31.7  big jump whoosh
  405  $0195  1     11.7    13.4  Hi Cabal Whoosh
  410  $019a  1     17.6    20.2  Low Cabal Whoosh
  555  $022b  1     69.1    79.2  Girlie Hairy Throw
e 10145 $27a1  1     87.9   100.8  Whirlwind/Tornado sound (1x)
e 10150 $27a6  1    263.7   302.4  Whirlwind/Tornado sound (3x)
  10370 $2882  1     26.8    30.7  Cabal takes off mask

- Electricity:

  660  $0294  1     29.3    33.6  Robot Spark #1
  665  $0299  1     28.5    32.6  Robot Spark #2
  670  $029e  1     40.6    46.6  Robot Spark #3

  7025 $1b71  1     46.9    53.8  New Robot Spark #1

  7035 $1b7b  1     42.7    49.0  New Robot Spark #3

  7055 $1b8f  1     25.1    28.8  New Robot Spark #7
  7060 $1b94  1     47.7    54.7  New Robot Spark #8
  7065 $1b99  1     23.0    26.4  New Robot Spark #9

e 10090 $276a  1     76.2    87.4  Kano laser shoot
e 10095 $276f  1     37.7    43.2  Kano laser shock loop
e 10100 $2774  1    113.0   129.6  Kano laser shock loop (3x)

e 10190 $27ce  1     36.4    41.8  Night Wolf Lite Start
e 10195 $27d3  1     72.4    83.0  Night Wolf Lite Loop
e 10200 $27d8  1     46.9    53.8  Night Wolf Lite End
e 10205 $27dd  1    228.1   261.6  Night Wolf Lite Example (2x)

- Explosions:

  320  $0140  1    102.5   117.6  Explode thru street #1
  325  $0145  1     99.6   114.2  Explode thru street #2
  500  $01f4  1     78.3    89.8  Jax Cannon
  615  $0267  1     46.0    52.8  Jax, Robo Rocket Hit
  760  $02f8  1     46.9    53.8  Robot explodes
e 10180 $27c4  1    108.4   124.3  Catsup Big Self-Destruct Explosion
e 10300 $283c  1     66.1    75.8  Sub-Zero Fatality Smash
e 10315 $284b  1     74.9    85.9  Night Wolf Lightning Strike
e 10320 $2850  1     74.9    85.9  Night Wolf Lightning Build-Up

- Projectiles, Weapons, hits:

  500  $01f4  1     78.3    89.8  Jax Cannon
  505  $01f9  1     82.5    94.6  Indian Arrow trajectory
  510  $01fe  1     52.7    60.5  Kano ax
  515  $0203  1     70.3    80.6  Kano spinning knife
  520  $0208  1     61.5    70.6  Kano ball trajectory
  525  $020d  1     40.6    46.6  Sub-Zero Ice Turd
  530  $0212  1     50.2    57.6  Sonya Fly
  535  $0217  1     72.0    82.6  Sub-Zero Ice Up
  540  $021c  1     50.6    58.1  Sub-Zero Ice Down
  545  $0221  1    159.9   183.4  Burning Tomahawk
  550  $0226  1     41.9    48.0  Bow & Arrow Appear
  555  $022b  1     69.1    79.2  Girlie Hairy Throw
  560  $0230  1     59.9    68.6  Sonya Force Wave
  565  $0235  1     23.0    26.4  Robo Arm Out
  570  $023a  1     16.7    19.2  Robo Arm In
  575  $023f  1     38.9    44.6  Robo Throw
  580  $0244  1     28.5    32.6  Arrow Hit
  585  $0249  1     25.1    28.8  Arrow Blocked
  590  $024e  1     20.9    24.0  Kano Knife Blocked
  595  $0253  1     74.9    85.9  Robo Fast Rocket
  600  $0258  1    254.1   291.4  Robo Curvy Rocket (example)
  605  $025d  1     49.0    56.2  Sonya Force Wave Hit
  610  $0262  1     28.5    32.6  Sonya Force Wave Blocked
  615  $0267  1     46.0    52.8  Jax, Robo Rocket Hit
  620  $026c  1     28.5    32.6  Jax, Robo Rocket Blocked
  625  $0271  1    196.7   225.6  Muchacha Scream Trap Loop (3x)
  630  $0276  1     98.4   112.8  Muchacha Scream Trap Loop (1x)
  635  $027b  1     57.8    66.2  Robo Net Throw
  640  $0280  1     38.5    44.2  Frosty Ice Hit
  645  $0285  1     16.7    19.2  Frosty Ice Blocked
  650  $028a  1     33.1    37.9  Robo Curvy Rocket Part #1
  655  $028f  1     36.8    42.2  Robo Curvy Rocket Loop
  660  $0294  1     29.3    33.6  Robot Spark #1
  665  $0299  1     28.5    32.6  Robot Spark #2
  670  $029e  1     40.6    46.6  Robot Spark #3
  675  $02a3  1     45.2    51.8  Robot Warning Target (4x)
  680  $02a8  1     74.9    85.9  Kung Lao saw throw
  685  $02ad  1     72.8    83.5  Kung Lao Saw Hit (2x)
  690  $02b2  1     33.5    38.4  Kung Lao Saw Blocked
  695  $02b7  1     25.5    29.3  Robot chest click
  700  $02bc  1     63.6    73.0  Jax blur punch
  705  $02c1  1     35.2    40.3  Jax knee break
  710  $02c6  1     44.4    50.9  Sal projectile reflector
  715  $02cb  1     40.6    46.6  Sal Shadow Shoulder
  720  $02d0  1     45.2    51.8  Sonya bicycle kick whoosh
  725  $02d5  1     69.1    79.2  Muchacha fireball
  730  $02da  1     32.6    37.4  Muchacha fireball hit
  735  $02df  1     25.1    28.8  Muchacha fireball blocked
  740  $02e4  1     32.2    37.0  Kung Lao flying kick
  745  $02e9  1     20.9    24.0  Robo metal ball clank #1
