Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 1


ROM Table

ROM Name      Checksum  Size     Space Remaining
------------  --------  -------  ---------------
U2.ROM        $9300     1024 kB  2 kB (0%)
U3.ROM        $7400     1024 kB  MASKED
U4.ROM        $B600     1024 kB  MASKED
U5.ROM        $6A00     1024 kB  MASKED


Sound Call Table

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  0    $0000  0      0.4     0.5  kill sound on all tracks

  5    $0005  0        -       -  MK3: music: Train Tune (1st round)
  6    $0006  0        -       -  MK3: Train Tune (2nd & 3rd rounds)
  7    $0007  0        -       -  MK3: Train Tune Finish It
  8    $0008  0        -       -  MK3: Train Tune End It
  9    $0009  0        -       -  MK3: Cool Tune (1st round)
  10   $000a  0        -       -  MK3: Cool Tune (2nd & 3rd rounds)
  11   $000b  0        -       -  MK3: Cool Tune Finish It
  12   $000c  0    141.1   161.8  MK3: Cool Tune End It
  13   $000d  0        -       -  MK3: Slow Penthouse Tune (1st round)
  14   $000e  0        -       -  MK3: Slow Penthouse Tune (2nd & 3rd rounds)
  15   $000f  0        -       -  MK3: Slow Penthouse Tune Finish It
  16   $0010  0    138.5   158.9  MK3: Slow Penthouse Tune End It
  17   $0011  0        -       -  MK3: Church Tune (1st round)
  18   $0012  0        -       -  MK3: Church Tune (2nd & 3rd rounds)
  19   $0013  0        -       -  MK3: Church Tune Finish It
  20   $0014  0    117.2   134.4  MK3: Church Tune End It
  21   $0015  0        -       -  MK3: Old Tune (1st round)
  22   $0016  0        -       -  MK3: Old Tune (2nd & 3rd rounds)
  23   $0017  0        -       -  MK3: Old Tune Finish It
  24   $0018  0     96.3   110.4  MK3: Old Tune End It
  25   $0019  0        -       -  MK3: Lower Wacker (1st round)
  26   $001a  0        -       -  MK3: Lower Wacker (2nd & 3rd round)
  27   $001b  0        -       -  MK3: Lower Wacker Finish
  28   $001c  0     99.2   113.8  MK3: Lower Wacker End
  29   $001d  0        -       -  MK3: The Pit (1st round)
  30   $001e  0        -       -  MK3: The Pit (2nd & 3rd rounds)
  31   $001f  0        -       -  MK3: Pit Finish
  32   $0020  0     92.9   106.6  MK3: Pit End
  33   $0021  0        -       -  MK3: The Tongue (1st round)
  34   $0022  0        -       -  MK3: The Tongue (2nd & 3rd rounds)
  35   $0023  0        -       -  MK3: Tongue Finish
  36   $0024  0    154.9   177.6  MK3: Tongue End
  37   $0025  0        -       -  MK3: Drum Frenzy
  38   $0026  0        -       -  MK3: Drum Frenzy Finish
  39   $0027  0    104.6   120.0  MK3: Drum Frenzy End
  40   $0028  0        -       -  MK3: Through subway ceiling
  41   $0029  0        -       -  MK3: Bust through to Gargoyle Roof

  45   $002d  0        -       -  MK3: Grave Yard (round 1)
  46   $002e  0        -       -  MK3: Grave Yard (round 2 & 3)
  47   $002f  0        -       -  MK3: Grave Yard Finish
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 2


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  48   $0030  0    166.2   190.6  MK3: Grave Yard End

  50   $0032  0        -       -  MK3: MK III Game Start -- Select Screen

  52   $0034  0        -       -  MK3: MK III Game Start Whole Sequence
  53   $0035  0    166.2   190.6  MK3: Mortal Sans
  54   $0036  0    179.6   205.9  MK3: Fatality #1
  55   $0037  0    167.0   191.5  MK3: Fatality #2
  56   $0038  0        -       -  MK3: Buy-in

  58   $003a  0        -       -  MK3: Animality #1 (during morph)
  59   $003b  0     71.6    82.1  MK3: Animality #2 (after death)
e 60   $003c  0        -       -  MK3: One Player Path
e 61   $003d  0     92.1   105.6  MK3: End One Player Path
e 62   $003e  0        -       -  MK3: Slow Attract Mode w/drone
e 63   $003f  0        -       -  MK3: Slow Attract Mode - no drone
e 64   $0040  0        -       -  MK3: Fast Attract Mode - one way
e 65   $0041  0        -       -  MK3: Fast Attract Mode - another way
e 66   $0042  0    155.3   178.1  MK3: fRieNdsHip #1
e 67   $0043  0    177.5   203.5  MK3: Babality
e 68   $0044  0    144.0   165.1  MK3: Fast Attract Mode Ending
e 69   $0045  0    590.2   676.8  MK3: You Win

  80   $0050  1    102.5   117.6  Street Explode [1 2]

  100  $0064  1     18.0    20.6  big hit #1
  105  $0069  1     16.7    19.2  big hit #2
  110  $006e  1     33.1    37.9  Block a Major hit
  115  $0073  1     15.1    17.3  block #1
  120  $0078  1     22.2    25.4  body hit #1
  125  $007d  1     21.3    24.5  body hit #2
  130  $0082  1     17.2    19.7  face hit #1
  135  $0087  1     18.8    21.6  face hit #2
  140  $008c  1     25.1    28.8  Biggie Hit #3
  145  $0091  1     26.0    29.8  big whoosh #1
  150  $0096  1     18.8    21.6  big whoosh #2
  155  $009b  1     20.9    24.0  big whoosh #3
  160  $00a0  1     17.6    20.2  big whoosh #4
  165  $00a5  1     16.7    19.2  whoosh #1
  170  $00aa  1     23.4    26.9  whoosh #2
  175  $00af  1     20.5    23.5  whoosh #3
  180  $00b4  1     26.0    29.8  Body hit #3
  185  $00b9  1     32.2    37.0  fall #1
  190  $00be  1     22.6    25.9  fall #2
  195  $00c3  1     40.2    46.1  fall #3
  200  $00c8  1     35.2    40.3  fall #4

  210  $00d2  1     32.2    37.0  Crunch #1
  215  $00d7  1     33.1    37.9  Crunch #2
  220  $00dc  1     25.1    28.8  Stab #1
  225  $00e1  1     25.5    29.3  Biggie Stab #1
  230  $00e6  1     46.0    52.8  Biggie Stab #2
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 3


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  235  $00eb  1     30.1    34.6  Biggie Stab #3
  240  $00f0  1     45.2    51.8  Old big hit #1
  245  $00f5  1     45.2    51.8  Old big hit #2

  255  $00ff  1     32.2    37.0  Medium Body Slam
  260  $0104  1     51.1    58.6  Big Body Slam
  265  $0109  1     46.0    52.8  Big Slam
  270  $010e  1     38.1    43.7  New Big Hit #1
  275  $0113  1     37.7    43.2  New Big Hit #2 (weapon)
  280  $0118  1     33.1    37.9  New Big Hit #3
  285  $011d  1     36.4    41.8  New Big Hit #4
  290  $0122  1     41.9    48.0  New Big Hit #5 (weapon)
  295  $0127  1     18.8    21.6  Rock #1
  300  $012c  1     13.4    15.4  Rock #2
  305  $0131  1     30.6    35.0  Rocks #1
  310  $0136  1     18.4    21.1  Rocks #2
  315  $013b  1     21.8    25.0  Rocks #3
  320  $0140  1    102.5   117.6  Explode thru street #1
  325  $0145  1     99.6   114.2  Explode thru street #2
  330  $014a  1     11.3    13.0  Footstep #1
  335  $014f  1     13.4    15.4  Footstep #2
  340  $0154  1     12.6    14.4  Footstep #3
  345  $0159  1      7.5     8.6  Footstep #4
  350  $015e  1     26.8    30.7  New Stab #1
  355  $0163  1     24.3    27.8  New Stab #2 (Kano knife)
  360  $0168  1     29.7    34.1  New Stab #3
  365  $016d  1     28.9    33.1  Round House Whoosh
  370  $0172  1     27.6    31.7  big jump whoosh
  375  $0177  1     37.7    43.2  Crash through floors

  385  $0181  1     63.6    73.0  Fatality: Robot press out
  390  $0186  1     10.9    12.5  player's feet landing
  395  $018b  1     23.9    27.4  Metal Punch #1
  400  $0190  1     26.8    30.7  Metal Punch #2
  405  $0195  1     11.7    13.4  Hi Cabal Whoosh
  410  $019a  1     17.6    20.2  Low Cabal Whoosh

  500  $01f4  1     78.3    89.8  Jax Cannon
  505  $01f9  1     82.5    94.6  Indian Arrow trajectory
  510  $01fe  1     52.7    60.5  Kano ax
  515  $0203  1     70.3    80.6  Kano spinning knife
  520  $0208  1     61.5    70.6  Kano ball trajectory
  525  $020d  1     40.6    46.6  Sub-Zero Ice Turd
  530  $0212  1     50.2    57.6  Sonya Fly
  535  $0217  1     72.0    82.6  Sub-Zero Ice Up
  540  $021c  1     50.6    58.1  Sub-Zero Ice Down
  545  $0221  1    159.9   183.4  Burning Tomahawk
  550  $0226  1     41.9    48.0  Bow & Arrow Appear
  555  $022b  1     69.1    79.2  Girlie Hairy Throw
  560  $0230  1     59.9    68.6  Sonya Force Wave
  565  $0235  1     23.0    26.4  Robo Arm Out
  570  $023a  1     16.7    19.2  Robo Arm In
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 4


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
  575  $023f  1     38.9    44.6  Robo Throw
  580  $0244  1     28.5    32.6  Arrow Hit
  585  $0249  1     25.1    28.8  Arrow Blocked
  590  $024e  1     20.9    24.0  Kano Knife Blocked
  595  $0253  1     74.9    85.9  Robo Fast Rocket
  600  $0258  1    254.1   291.4  Robo Curvy Rocket (example)
  605  $025d  1     49.0    56.2  Sonya Force Wave Hit
  610  $0262  1     28.5    32.6  Sonya Force Wave Blocked
  615  $0267  1     46.0    52.8  Jax, Robo Rocket Hit
  620  $026c  1     28.5    32.6  Jax, Robo Rocket Blocked
  625  $0271  1    196.7   225.6  Muchacha Scream Trap Loop (3x)
  630  $0276  1     98.4   112.8  Muchacha Scream Trap Loop (1x)
  635  $027b  1     57.8    66.2  Robo Net Throw
  640  $0280  1     38.5    44.2  Frosty Ice Hit
  645  $0285  1     16.7    19.2  Frosty Ice Blocked
  650  $028a  1     33.1    37.9  Robo Curvy Rocket Part #1
  655  $028f  1     36.8    42.2  Robo Curvy Rocket Loop
  660  $0294  1     29.3    33.6  Robot Spark #1
  665  $0299  1     28.5    32.6  Robot Spark #2
  670  $029e  1     40.6    46.6  Robot Spark #3
  675  $02a3  1     45.2    51.8  Robot Warning Target (4x)
  680  $02a8  1     74.9    85.9  Kung Lao saw throw
  685  $02ad  1     72.8    83.5  Kung Lao Saw Hit (2x)
